,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Month,Year
20998,A824953,Unknown,2020-11-08 19:00:00,2020-10-16,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever,Black Brindle/White,Nov,2020
34116,A681232,Sadie,2014-06-20 13:44:00,2012-06-14,Transfer,Partner,Dog,Spayed Female,2 years,Queensland Heeler Mix,Blue Merle/Black,Jun,2014
25513,A878224,Lumpy,2023-04-13 09:30:00,2018-04-09,Transfer,Partner,Dog,Intact Male,5 years,Pit Bull,Brown/White,Apr,2023
32957,A737044,Unknown,2016-10-26 00:00:00,2015-10-21,Transfer,Partner,Dog,Spayed Female,1 year,Siberian Husky Mix,Sable/White,Oct,2016
121267,A858750,Tasha,2023-03-10 17:20:00,2014-06-03,Transfer,Partner,Cat,Intact Female,8 years,Domestic Shorthair,Blue,Mar,2023
61956,A792822,Unknown,2019-04-19 16:36:00,2018-04-15,Transfer,Partner,Dog,Neutered Male,1 year,English Cocker Spaniel,Red,Apr,2019
39758,A729022,Dew,2016-06-27 00:00:00,2016-03-28,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Jun,2016
82094,A838366,Preggy,2021-07-09 15:45:00,2020-01-07,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Black/White,Jul,2021
101908,A754897,Unknown,2017-07-26 15:11:00,2017-07-14,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black,Jul,2017
138217,A863615,175Grams,2022-08-13 14:50:00,2022-07-22,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,Aug,2022
81402,A843887,Ashley,2021-10-18 08:20:00,2021-09-01,Transfer,Partner,Dog,Intact Female,1 month,Australian Shepherd Mix,Tan/White,Oct,2021
19474,A665124,Unknown,2013-10-14 12:16:00,2013-09-22,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby,Oct,2013
150344,A868921,Unknown,2022-12-20 16:26:00,2020-11-10,Transfer,Partner,Bird,Intact Male,2 years,Chicken,Red,Dec,2022
95372,A771152,Rusha,2018-05-22 15:31:00,2013-05-01,Transfer,Partner,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black,May,2018
139043,A802388,Unknown,2019-08-17 12:25:00,2019-07-17,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair,Brown Tabby,Aug,2019
8286,A761736,Unknown,2017-11-11 06:53:00,2017-09-23,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,Nov,2017
38268,A823283,153Grams,2020-09-20 15:10:00,2020-09-14,Transfer,Partner,Cat,Intact Female,6 days,Domestic Shorthair,Black/White,Sep,2020
153609,A881997,Oliver,2023-07-10 12:54:00,2017-05-30,Transfer,Partner,Cat,Intact Male,6 years,Domestic Longhair,Blue,Jul,2023
42333,A833400,Unknown,2021-04-29 14:28:00,2021-04-07,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black,Apr,2021
139688,A858191,Cyrus,2022-05-27 00:00:00,2018-05-26,Transfer,Snr,Cat,Unknown,4 years,Domestic Shorthair,Black,May,2022
154666,A886047,200Grams,2023-07-29 17:18:00,2023-07-15,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby,Jul,2023
47335,A803571,Unknown,2019-09-07 08:31:00,2015-09-03,Transfer,Partner,Cat,Unknown,4 years,Domestic Shorthair,Black,Sep,2019
39057,A710767,Unknown,2015-08-28 09:00:00,2015-05-27,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby,Aug,2015
111191,A872971,Aer,2023-01-28 11:37:00,2019-01-18,Transfer,Partner,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Black,Jan,2023
359,A737963,Unknown,2016-11-07 17:12:00,2016-09-07,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,White/Gray,Nov,2016
65830,A783124,Unknown,2018-10-30 12:07:00,2017-10-25,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,Oct,2018
14783,A705804,Chico,2019-04-25 16:22:00,2012-06-21,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Brown,Apr,2019
66737,A712904,Unknown,2015-09-29 19:01:00,2015-09-22,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Brown Tabby/White,Sep,2015
47877,A804885,Unknown,2019-09-20 12:55:00,2019-08-29,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair,Black,Sep,2019
113511,A763763,Unknown,2017-12-21 11:50:00,2017-09-15,Transfer,Partner,Dog,Neutered Male,3 months,Great Pyrenees Mix,White,Dec,2017
12348,A844593,Annie,2021-11-05 11:23:00,2021-01-18,Transfer,Out State,Dog,Spayed Female,9 months,Labrador Retriever Mix,Tan/White,Nov,2021
102203,A716559,Timberlake,2015-12-19 15:48:00,2015-04-21,Transfer,Partner,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Black/White,Dec,2015
37585,A791770,Unknown,2019-04-03 18:27:00,2015-03-31,Transfer,Snr,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black,Apr,2019
1663,A874790,Trudy,2023-02-25 14:43:00,2021-02-18,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby,Feb,2023
8439,A683041,Unknown,2014-07-06 13:48:00,2014-06-14,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,Jul,2014
92116,A772213,Unknown,2018-05-18 14:19:00,2000-05-16,Transfer,Partner,Cat,Neutered Male,18 years,Domestic Shorthair Mix,Blue,May,2018
40668,A730088,Unknown,2016-07-18 16:38:00,2016-04-13,Transfer,Partner,Dog,Intact Male,3 months,Labrador Retriever Mix,White,Jul,2016
124034,A699750,Bella,2015-04-04 14:11:00,2014-04-02,Transfer,Partner,Dog,Spayed Female,1 year,Border Collie,Chocolate/White,Apr,2015
152603,A887738,A887738,2023-08-31 10:05:00,2021-08-25,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Black/White,Aug,2023
84973,A687304,LilBit,2014-09-20 13:40:00,2012-09-03,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,Sep,2014
72084,A802058,Unknown,2019-08-13 17:49:00,2019-07-29,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,Aug,2019
80403,A796765,Unknown,2019-06-05 17:24:00,2019-05-05,Transfer,Partner,Cat,Intact Male,4 weeks,American Shorthair,Brown Tabby,Jun,2019
99299,A732335,Josefa,2016-08-13 15:00:00,2016-06-10,Transfer,Partner,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black,Aug,2016
57292,A840598,A840598,2021-08-16 00:00:00,2020-08-10,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,Aug,2021
148505,A846735,Maxine,2021-12-06 13:23:00,2019-11-20,Transfer,Out State,Dog,Intact Female,2 years,Border Collie,Black/White,Dec,2021
53030,A702869,Wyatt,2015-05-27 16:45:00,2014-05-19,Transfer,Partner,Dog,Intact Male,1 year,German Shepherd,Black/Tan,May,2015
154805,A885997,Unknown,2023-08-01 16:26:00,2023-06-13,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,Aug,2023
135267,A711121,Unknown,2015-09-21 15:55:00,2015-08-26,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby,Sep,2015
121919,A723851,Unknown,2016-04-09 12:01:00,2011-04-08,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby,Apr,2016
43696,A664352,Romeo,2013-10-10 18:16:00,2011-10-02,Transfer,Partner,Dog,Neutered Male,2 years,Shetland Sheepdog/Italian Greyhound,Sable/White,Oct,2013
8185,A800066,Unknown,2019-07-19 11:55:00,2017-07-15,Transfer,Snr,Cat,Spayed Female,2 years,Domestic Shorthair,Black,Jul,2019
92252,A693936,Baby,2014-12-21 15:39:00,2002-12-17,Transfer,Partner,Cat,Intact Female,12 years,Siamese Mix,Lilac Point,Dec,2014
100677,A773502,Unknown,2018-06-02 16:58:00,2018-05-18,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,Jun,2018
114156,A780797,Unknown,2018-09-20 14:45:00,2018-08-25,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,Sep,2018
10131,A829039,Peaches,2021-03-30 11:26:00,2019-02-01,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull,Brown/White,Mar,2021
66203,A705342,Unknown,2015-06-17 12:27:00,2015-05-25,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie,Jun,2015
86345,A746520,Unknown,2017-04-04 14:50:00,2017-03-20,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,Apr,2017
48617,A715060,Unknown,2015-11-18 00:00:00,2013-10-30,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan,Nov,2015
119798,A709451,Unknown,2015-08-10 09:00:00,2015-04-09,Transfer,SCRP,Cat,Intact Female,4 months,Siamese Mix,Seal Point,Aug,2015
121226,A849851,Unknown,2022-01-15 12:53:00,2016-01-14,Transfer,Partner,Dog,Intact Male,6 years,Mastiff Mix,Fawn,Jan,2022
554,A801453,Creampuff,2019-08-11 15:27:00,2019-07-13,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White,Aug,2019
38950,A772397,Unknown,2018-05-19 00:00:00,2018-05-12,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue Tabby,May,2018
103244,A841384,128Grams,2021-08-26 18:10:00,2021-08-19,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair,Brown Tabby,Aug,2021
76711,A459766,Joey,2016-04-10 13:53:00,2006-03-14,Transfer,Partner,Dog,Spayed Female,10 years,Beagle/German Shepherd,Brown/Black,Apr,2016
79238,A670461,Unknown,2014-01-12 15:37:00,2013-11-08,Transfer,Partner,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,White/Tan,Jan,2014
137472,A740502,Unknown,2016-12-19 09:00:00,2015-12-18,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,Dec,2016
62207,A703334,Gonzo,2015-06-06 17:27:00,2013-05-23,Transfer,Partner,Dog,Intact Male,2 years,Boxer Mix,Brown Brindle/White,Jun,2015
28460,A824837,Unknown,2020-10-22 16:18:00,2018-10-21,Transfer,Snr,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,Oct,2020
74100,A715764,Walt,2015-11-14 14:06:00,2005-11-09,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White,Nov,2015
84929,A881923,881923,2023-05-29 13:11:00,2023-05-14,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Black/White,May,2023
78836,A804631,Unknown,2019-09-20 17:00:00,2017-09-16,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair,Black/White,Sep,2019
98462,A692106,Olive,2014-11-18 15:01:00,2012-11-14,Transfer,Partner,Dog,Intact Female,2 years,Cairn Terrier Mix,Tan,Nov,2014
146205,A876169,831Grams,2023-03-10 16:06:00,2023-03-01,Transfer,Partner,Dog,Intact Female,1 weeks,Great Pyrenees,Tricolor/White,Mar,2023
95461,A757837,402,2017-10-09 19:37:00,2017-07-06,Transfer,Partner,Dog,Unknown,3 months,Labrador Retriever Mix,Blue Merle,Oct,2017
35236,A823586,Unknown,2020-09-26 13:15:00,2020-09-22,Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair,White/Black,Sep,2020
23782,A813773,Unknown,2020-02-19 11:59:00,2020-02-15,Transfer,Partner,Dog,Intact Female,4 days,Chihuahua Shorthair Mix,Buff/White,Feb,2020
66402,A712661,Unknown,2015-09-27 09:00:00,2015-07-11,Transfer,SCRP,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,Sep,2015
62776,A694408,Emma,2015-05-28 13:14:00,2013-06-27,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White,May,2015
27360,A602837,Mickey,2016-01-19 00:00:00,2010-06-06,Transfer,Partner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Brown,Jan,2016
99806,A734139,Unknown,2016-09-01 19:12:00,2016-08-24,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby,Sep,2016
114743,A676549,Unknown,2014-04-17 13:46:00,2013-08-11,Transfer,Partner,Dog,Intact Female,8 months,Queensland Heeler Mix,White/Brown,Apr,2014
120287,A710636,Estrella,2015-09-03 14:38:00,2009-08-25,Transfer,Partner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Brown,Sep,2015
121376,A751695,Unknown,2017-06-11 16:11:00,2017-05-27,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,Jun,2017
123413,A750305,Unknown,2017-06-02 18:47:00,2015-05-25,Transfer,Snr,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,Jun,2017
105799,A852252,150G,2022-03-01 14:18:00,2022-02-26,Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Torbie/White,Mar,2022
83166,A822251,Unknown,2020-08-29 11:39:00,2018-08-28,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever,Tan/White,Aug,2020
130614,A735261,Unknown,2016-09-29 14:31:00,2016-08-07,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan,Sep,2016
114474,A698186,Unknown,2015-03-13 16:06:00,2015-03-07,Transfer,Partner,Dog,Intact Female,6 days,Rat Terrier Mix,White,Mar,2015
86754,A716954,Unknown,2015-12-07 11:38:00,2012-11-29,Transfer,Partner,Dog,Intact Female,3 years,Australian Cattle Dog,Brown/Black,Dec,2015
123174,A843589,Maddie,2021-11-05 11:21:00,2017-10-04,Transfer,Out State,Dog,Spayed Female,4 years,German Shepherd,Brown/Black,Nov,2021
60330,A750459,Unknown,2017-05-30 00:00:00,2016-09-27,Transfer,Snr,Cat,Intact Female,8 months,Domestic Shorthair Mix,Orange Tabby,May,2017
76182,A830491,Basil,2021-03-12 17:57:00,2020-03-10,Transfer,Snr,Cat,Spayed Female,1 year,Domestic Shorthair,Gray,Mar,2021
89386,A720372,Lenny,2016-02-15 00:00:00,2015-02-08,Transfer,Partner,Dog,Neutered Male,1 year,Staffordshire Mix,Blue/White,Feb,2016
152636,A883423,A883423,2023-06-19 08:54:00,2021-06-17,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Blue Tabby,Jun,2023
19319,A703621,Unknown,2015-05-28 09:00:00,2010-05-27,Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby,May,2015
77651,A788953,Apollo,2019-07-18 13:07:00,2017-02-12,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White,Jul,2019
140092,A671338,Jude,2014-02-19 15:56:00,2012-01-22,Transfer,Partner,Dog,Neutered Male,2 years,Pointer/Catahoula,White/Brown Brindle,Feb,2014
39733,A738240,Unknown,2016-11-11 16:39:00,2016-10-27,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,Nov,2016
136010,A675633,Unknown,2014-04-09 15:42:00,2012-03-30,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black,Apr,2014
2283,A809282,Unknown,2019-11-26 11:12:00,2019-07-22,Transfer,Snr,Cat,Unknown,4 months,Domestic Shorthair,Brown Tabby,Nov,2019
117120,A862342,Snoopy,2022-07-26 10:29:00,2021-07-24,Transfer,Out State,Dog,Intact Male,1 year,Yorkshire Terrier,Black,Jul,2022
108266,A681838,Ruby,2014-07-28 12:11:00,2012-06-20,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,Jul,2014
114196,A855722,Buttons,2022-04-27 14:19:00,2022-01-07,Transfer,Out State,Dog,Intact Male,3 months,Catahoula,Brown Merle/White,Apr,2022
7785,A713461,Mary,2015-12-12 00:00:00,2010-10-07,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,Chocolate,Dec,2015
97408,A837268,Diamond,2021-06-21 14:07:00,2015-06-21,Transfer,Partner,Dog,Intact Female,6 years,Labrador Retriever Mix,Black/White,Jun,2021
89061,A712633,Unknown,2015-09-26 19:13:00,2015-09-11,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,Sep,2015
118592,A766713,Unknown,2018-02-15 15:20:00,2018-01-02,Transfer,Partner,Dog,Intact Male,1 month,Australian Shepherd Mix,Tricolor,Feb,2018
68857,A759059,Unknown,2017-09-28 16:55:00,2017-07-26,Transfer,Partner,Dog,Intact Male,2 months,Yorkshire Terrier Mix,Tan/White,Sep,2017
11337,A821804,Unknown,2020-08-27 10:44:00,2020-03-24,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair,Brown Tabby,Aug,2020
148163,A863729,Unknown,2022-08-29 19:47:00,2022-07-24,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby,Aug,2022
36271,A781909,Unknown,2018-10-07 17:05:00,2018-09-22,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,Oct,2018
23411,A760618,Unknown,2017-10-25 16:17:00,2017-04-21,Transfer,Partner,Dog,Intact Female,6 months,Belgian Malinois Mix,Black Brindle/White,Oct,2017
11188,A722726,Unknown,2016-03-21 17:46:00,2016-03-14,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Brown Tabby/White,Mar,2016
21112,A801310,Unknown,2019-08-02 18:21:00,2019-07-18,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair,Gray,Aug,2019
76186,A840267,Sabrina,2021-08-06 12:57:00,2010-08-04,Transfer,Partner,Dog,Intact Female,11 years,Chihuahua Shorthair Mix,Tan,Aug,2021
67390,A843458,183G,2021-10-01 13:00:00,2021-09-16,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Silver,Oct,2021
52641,A701798,Unknown,2015-05-05 16:37:00,2015-03-28,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,May,2015
106963,A709626,Unknown,2015-08-12 09:00:00,2015-04-11,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue,Aug,2015
119198,A673605,Unknown,2014-03-01 14:01:00,2012-08-27,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,Mar,2014
115006,A850602,Peaches,2022-01-31 14:20:00,2020-01-27,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair,Brown/Black,Jan,2022
32076,A787262,Ghost,2019-01-11 17:44:00,2017-08-10,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby/White,Jan,2019
90771,A692490,Elroy,2014-12-04 17:20:00,2014-01-21,Transfer,Partner,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black/White,Dec,2014
132096,A843739,Unknown,2021-10-06 15:08:00,2021-09-13,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Flame Point,Oct,2021
12011,A685105,Tero,2014-08-08 14:32:00,2014-04-17,Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,Aug,2014
2215,A719987,Buddy,2016-02-07 14:47:00,2013-07-31,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,Feb,2016
104276,A824746,Marni,2020-10-27 12:07:00,2018-10-20,Transfer,Partner,Dog,Spayed Female,2 years,American Pit Bull Terrier,Black/White,Oct,2020
69230,A757118,Toro,2018-06-07 12:53:00,2012-10-30,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,White/Blue,Jun,2018
29471,A723191,Unknown,2016-04-01 16:20:00,2015-11-28,Transfer,SCRP,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie,Apr,2016
3119,A685488,Unknown,2014-08-09 09:00:00,2013-12-08,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue,Aug,2014
72040,A681358,Unknown,2014-06-16 14:24:00,2014-05-16,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie,Jun,2014
27698,A704080,Unknown,2015-06-01 13:46:00,2015-05-28,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Cream,Jun,2015
15275,A674230,Unknown,2014-03-14 08:00:00,2013-03-10,Transfer,SCRP,Cat,Unknown,1 year,Domestic Medium Hair Mix,Blue Tabby/White,Mar,2014
127047,A749354,Unknown,2017-05-16 14:08:00,2017-04-13,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,May,2017
62178,A699165,Pepito,2015-03-30 15:29:00,2014-03-23,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan,Mar,2015
29749,A679744,Unknown,2014-05-25 15:55:00,2014-05-03,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,May,2014
19236,A814732,Enzo,2020-03-20 16:46:00,2018-03-04,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull,White/Brown,Mar,2020
154205,A884176,Marmite,2023-07-20 16:36:00,2023-06-02,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Black,Jul,2023
33970,A699797,Unknown,2015-04-08 00:00:00,2014-06-03,Transfer,Partner,Dog,Neutered Male,10 months,Shih Tzu,White/Brown Brindle,Apr,2015
54386,A700753,Poko,2015-04-28 13:00:00,2013-04-19,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby,Apr,2015
6479,A836503,Unknown,2021-06-28 16:18:00,2021-06-11,Transfer,Partner,Dog,Unknown,2 weeks,German Shepherd Mix,Black/Brown,Jun,2021
37555,A753374,Ellie,2017-08-16 00:00:00,2016-07-05,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Agouti,Aug,2017
114213,A733724,Unknown,2016-08-26 14:59:00,2016-06-26,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Aug,2016
21897,A699890,Zoey,2015-11-15 15:26:00,2013-04-03,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,Nov,2015
38594,A697781,Unknown,2015-03-01 09:00:00,2014-02-28,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,Mar,2015
48768,A744446,Rudy,2017-03-06 12:32:00,2016-03-01,Transfer,Partner,Dog,Intact Male,1 year,Miniature Poodle Mix,White,Mar,2017
125867,A730489,Peony,2016-07-13 13:18:00,2014-07-05,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Red,Jul,2016
106122,A690250,Unknown,2014-10-16 18:33:00,2014-09-24,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Oct,2014
151234,A854961,Unknown,2022-04-17 11:04:00,2022-02-11,Transfer,In State,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown,Apr,2022
145213,A875354,Unknown,2023-02-25 16:58:00,2023-02-10,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair,Blue Tabby,Feb,2023
144356,A879673,Unknown,2023-04-29 17:27:00,2023-04-24,Transfer,Partner,Cat,Intact Male,5 days,Domestic Shorthair,Cream,Apr,2023
72229,A664094,Sally,2013-10-03 15:15:00,2011-09-29,Transfer,Partner,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,Tan/White,Oct,2013
139901,A711972,Cruise,2015-09-16 11:12:00,2015-07-14,Transfer,Partner,Dog,Intact Male,2 months,Collie Smooth Mix,Brown/White,Sep,2015
54304,A691684,Presley,2014-11-11 17:36:00,2014-09-08,Transfer,Partner,Dog,Intact Male,2 months,Pit Bull Mix,White/Tan,Nov,2014
64998,A877048,69Grams,2023-03-23 13:46:00,2023-03-23,Transfer,Partner,Cat,Intact Male,0 years,Domestic Shorthair,Black/White,Mar,2023
154187,A885504,Unknown,2023-07-20 14:13:00,2023-06-21,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue/White,Jul,2023
105593,A683357,Unknown,2014-07-11 09:00:00,2014-03-09,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue,Jul,2014
85544,A684902,Unknown,2014-07-30 12:14:00,2014-03-02,Transfer,Partner,Other,Unknown,4 months,Opossum Mix,Black,Jul,2014
58979,A829800,Unknown,2021-03-02 14:07:00,2019-02-23,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever,Yellow,Mar,2021
102293,A785429,Unknown,2018-12-03 16:15:00,2018-12-02,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,Dec,2018
55144,A716349,Unknown,2015-11-18 17:56:00,2015-10-31,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,Nov,2015
75576,A676584,Unknown,2014-04-16 12:50:00,2013-04-12,Transfer,Partner,Dog,Neutered Male,1 year,German Shepherd Mix,Sable/Tan,Apr,2014
88509,A694705,Snickrdoodle,2015-01-06 12:16:00,2007-01-02,Transfer,Partner,Dog,Intact Male,8 years,Shih Tzu,Brown/White,Jan,2015
111606,A686535,Unknown,2014-08-24 09:00:00,2013-12-23,Transfer,SCRP,Cat,Intact Male,8 months,Domestic Shorthair Mix,Black,Aug,2014
45328,A794491,Unknown,2019-05-13 16:20:00,2009-05-09,Transfer,Partner,Dog,Neutered Male,10 years,Chow Chow,Red,May,2019
99866,A800513,Unknown,2019-08-04 13:56:00,2019-05-22,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,Aug,2019
8719,A783522,Unknown,2018-11-02 11:26:00,2018-10-29,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,Nov,2018
151268,A822282,Ursula,2023-06-10 12:10:00,2016-08-29,Transfer,Partner,Dog,Spayed Female,6 years,Rottweiler Mix,Black/Brown,Jun,2023
81231,A873243,Unknown,2023-01-24 14:55:00,2023-01-16,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair,Cream Tabby,Jan,2023
23906,A695346,Hanna,2015-01-18 16:07:00,2014-03-14,Transfer,Partner,Dog,Intact Female,10 months,Labrador Retriever Mix,Brown/White,Jan,2015
87731,A732615,Pepe,2016-09-21 16:37:00,2014-08-10,Transfer,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Chocolate,Sep,2016
43224,A690079,Ricky,2014-10-17 11:21:00,2014-08-30,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Blue/White,Oct,2014
97725,A612887,Peaches,2016-11-03 14:37:00,2001-10-28,Transfer,Partner,Dog,Spayed Female,15 years,Miniature Poodle Mix,Tan,Nov,2016
77305,A781092,Shiloh,2019-06-05 11:30:00,2018-09-15,Transfer,Partner,Dog,Neutered Male,8 months,German Shepherd/Labrador Retriever,Brown/White,Jun,2019
103388,A815207,Unknown,2020-03-16 17:33:00,2019-03-12,Transfer,Partner,Other,Unknown,1 year,Lizard,Brown,Mar,2020
